ZIP Code,Week Number,Week Start,Week End,Cases - Weekly,Cases - Cumulative,Case Rate - Weekly,Case Rate - Cumulative,Tests - Weekly,Tests - Cumulative,Test Rate - Weekly,Test Rate - Cumulative,Percent Tested Positive - Weekly,Percent Tested Positive - Cumulative,Deaths - Weekly,Deaths - Cumulative,Death Rate - Weekly,Death Rate - Cumulative,Population,Row ID,ZIP Code Location
60624,26,06/21/2020,06/27/2020,22,917,61,2536.1,445,5030,1231,13911.2,0.1,0.2,1,28,2.8,77.4,36158,60624-2020-26,POINT (-87.722735 41.879417)
60624,27,06/28/2020,07/04/2020,27,944,75,2610.8,384,5414,1062,14973.2,0.1,0.2,0,28,0.0,77.4,36158,60624-2020-27,POINT (-87.722735 41.879417)
60624,28,07/05/2020,07/11/2020,32,976,88,2699.3,612,6026,1693,16665.7,0.1,0.2,0,28,0.0,77.4,36158,60624-2020-28,POINT (-87.722735 41.879417)
60624,30,07/19/2020,07/25/2020,23,1022,64,2826.5,510,7118,1410,19685.8,0.1,0.1,1,29,2.8,80.2,36158,60624-2020-30,POINT (-87.722735 41.879417)
60632,20,05/10/2020,05/16/2020,447,2429,491,2668.1,1331,5627,1462,6180.9,0.3,0.4,10,51,11.0,56.0,91039,60632-2020-20,POINT (-87.711251 41.810038)
60633,33,08/09/2020,08/15/2020,18,261,140,2027.8,263,2661,2043,20674.4,0.1,0.1,0,5,0.0,38.8,12871,60633-2020-33,POINT (-87.556037 41.653147)
60633,34,08/16/2020,08/22/2020,17,278,132,2159.9,264,2925,2051,22725.5,0.1,0.1,0,5,0.0,38.8,12871,60633-2020-34,POINT (-87.556037 41.653147)
60633,35,08/23/2020,08/29/2020,32,310,249,2408.5,304,3229,2362,25087.4,0.1,0.1,1,6,7.8,46.6,12871,60633-2020-35,POINT (-87.556037 41.653147)
60624,46,11/08/2020,11/14/2020,172,1755,476,4853.7,1096,17722,3031,49012.7,0.2,0.1,2,37,5.5,102.3,36158,60624-2020-46,POINT (-87.722735 41.879417)
60624,47,11/15/2020,11/21/2020,160,1915,442,5296.2,1359,19081,3758,52771.2,0.1,0.1,0,37,0.0,102.3,36158,60624-2020-47,POINT (-87.722735 41.879417)
60624,48,11/22/2020,11/28/2020,111,2026,307,5603.2,837,19918,2315,55086,0.1,0.1,5,42,13.8,116.2,36158,60624-2020-48,POINT (-87.722735 41.879417)
60619,52,12/20/2020,12/26/2020,119,3191,194,5209.1,1281,41883,2091,68371.5,0.1,0.1,6,100,9.8,163.2,61258,60619-2020-52,POINT (-87.60569 41.744737)
60619,53,12/27/2020,01/02/2021,105,3296,171,5380.5,1323,43206,2160,70531.2,0.1,0.1,3,103,4.9,168.1,61258,60619-2020-53,POINT (-87.60569 41.744737)
60619,1,01/03/2021,01/09/2021,141,3437,230,5610.7,1638,44844,2674,73205.1,0.1,0.1,1,104,1.6,169.8,61258,60619-2021-1,POINT (-87.60569 41.744737)
60619,2,01/10/2021,01/16/2021,106,3543,173,5783.7,1610,46454,2628,75833.4,0.1,0.1,1,105,1.6,171.4,61258,60619-2021-2,POINT (-87.60569 41.744737)
60619,3,01/17/2021,01/23/2021,72,3615,118,5901.3,1555,48009,2538,78371.8,0.1,0.1,1,106,1.6,173.0,61258,60619-2021-3,POINT (-87.60569 41.744737)
60619,4,01/24/2021,01/30/2021,70,3685,114,6015.5,1589,49598,2594,80965.8,0.0,0.1,5,111,8.2,181.2,61258,60619-2021-4,POINT (-87.60569 41.744737)
60619,5,01/31/2021,02/06/2021,50,3735,82,6097.2,1267,50865,2068,83034.1,0.0,0.1,1,112,1.6,182.8,61258,60619-2021-5,POINT (-87.60569 41.744737)
60620,21,05/17/2020,05/23/2020,80,1013,118,1487.6,1157,5425,1699,7966.7,0.1,0.2,6,65,8.8,95.5,68096,60620-2020-21,POINT (-87.651656 41.740873)
60620,23,05/31/2020,06/06/2020,37,1103,54,1619.8,607,6924,891,10168,0.1,0.2,1,67,1.5,98.4,68096,60620-2020-23,POINT (-87.651656 41.740873)
60620,31,07/26/2020,08/01/2020,43,1429,63,2098.5,947,13990,1391,20544.5,0.1,0.1,1,72,1.5,105.7,68096,60620-2020-31,POINT (-87.651656 41.740873)
60620,33,08/09/2020,08/15/2020,43,1534,63,2252.7,1328,16270,1950,23892.7,0.0,0.1,2,74,2.9,108.7,68096,60620-2020-33,POINT (-87.651656 41.740873)
60629,31,07/26/2020,08/01/2020,152,4021,136,3595,1835,21385,1641,19119.4,0.1,0.2,4,106,3.6,94.8,111850,60629-2020-31,POINT (-87.711565 41.777061)
60629,32,08/02/2020,08/08/2020,188,4209,168,3763.1,1676,23061,1498,20617.8,0.1,0.2,2,108,1.8,96.6,111850,60629-2020-32,POINT (-87.711565 41.777061)
60629,33,08/09/2020,08/15/2020,171,4380,153,3916,1737,24798,1553,22170.8,0.1,0.2,0,108,0.0,96.6,111850,60629-2020-33,POINT (-87.711565 41.777061)
60629,34,08/16/2020,08/22/2020,186,4566,166,4082.3,1856,26654,1659,23830.1,0.1,0.2,0,108,0.0,96.6,111850,60629-2020-34,POINT (-87.711565 41.777061)
60629,35,08/23/2020,08/29/2020,186,4752,166,4248.5,1952,28606,1745,25575.3,0.1,0.2,1,109,0.9,97.5,111850,60629-2020-35,POINT (-87.711565 41.777061)
60629,36,08/30/2020,09/05/2020,172,4924,154,4402.3,1771,30377,1583,27158.7,0.1,0.2,4,113,3.6,101.0,111850,60629-2020-36,POINT (-87.711565 41.777061)
60629,37,09/06/2020,09/12/2020,141,5065,126,4528.4,1389,31766,1242,28400.5,0.1,0.2,2,115,1.8,102.8,111850,60629-2020-37,POINT (-87.711565 41.777061)
60629,38,09/13/2020,09/19/2020,183,5248,164,4692,1689,33455,1510,29910.6,0.1,0.2,2,117,1.8,104.6,111850,60629-2020-38,POINT (-87.711565 41.777061)
60629,39,09/20/2020,09/26/2020,189,5437,169,4861,1909,35364,1707,31617.3,0.1,0.2,2,119,1.8,106.4,111850,60629-2020-39,POINT (-87.711565 41.777061)
60629,40,09/27/2020,10/03/2020,130,5567,116,4977.2,1723,37087,1540,33157.8,0.1,0.2,1,120,0.9,107.3,111850,60629-2020-40,POINT (-87.711565 41.777061)
60629,41,10/04/2020,10/10/2020,219,5786,196,5173,1923,39010,1719,34877.1,0.1,0.2,0,120,0.0,107.3,111850,60629-2020-41,POINT (-87.711565 41.777061)
60629,42,10/11/2020,10/17/2020,376,6162,336,5509.2,2353,41363,2104,36980.8,0.2,0.2,1,121,0.9,108.2,111850,60629-2020-42,POINT (-87.711565 41.777061)
60629,43,10/18/2020,10/24/2020,504,6666,451,5959.8,2995,44358,2678,39658.5,0.2,0.2,1,122,0.9,109.1,111850,60629-2020-43,POINT (-87.711565 41.777061)
